slice_idx,num_points,x_mm,y_mm,z_mm
11,45,-120.9578,-11.4267,28.3819
11,45,-120.9578,-10.9267,28.3789
11,45,-119.9579,-9.9268,28.3599
11,45,-119.9579,-9.4268,28.3570
11,45,-119.4580,-8.9269,28.3474
11,45,-119.4580,-8.4269,28.3445
11,45,-118.9580,-7.9270,28.3350
11,45,-118.9580,-7.4270,28.3321
11,45,-118.4580,-6.9270,28.3225
11,45,-118.4580,-6.4270,28.3196
11,45,-117.4581,-5.4271,28.3005
11,45,-117.4581,-4.9271,28.2976
11,45,-113.9584,-1.4274,28.2309
11,45,-113.4585,-1.4275,28.2243
11,45,-112.4586,-0.4276,28.2053
11,45,-110.9587,-0.4277,28.1854
11,45,-110.4587,0.0723,28.1759
11,45,-109.4588,0.0722,28.1627
11,45,-108.9589,0.5721,28.1532
11,45,-107.9590,0.5721,28.1399
11,45,-107.4590,1.0720,28.1304
11,45,-105.9591,1.0719,28.1106
11,45,-105.4592,1.5718,28.1011
11,45,-98.4598,1.5713,28.0086
11,45,-97.9598,1.0713,28.0049
11,45,-96.9599,1.0712,27.9917
11,45,-95.4601,0.5711,27.9748
12,72,-112.4150,-42.4076,31.7503
12,72,-114.9147,-40.4074,31.7717
12,72,-114.9147,-39.9074,31.7688
12,72,-117.4145,-37.4073,31.7872
12,72,-117.4145,-36.9073,31.7843
12,72,-118.4144,-35.9072,31.7917
12,72,-118.4144,-35.4072,31.7887
12,72,-118.9144,-34.9072,31.7924
12,72,-118.9144,-34.4072,31.7895
12,72,-119.9143,-33.4072,31.7969
12,72,-119.9143,-31.4072,31.7852
12,72,-120.4143,-30.9072,31.7889
12,72,-120.4143,-30.4072,31.7859
12,72,-120.9142,-29.9071,31.7896
12,72,-120.9142,-28.9072,31.7838
12,72,-121.4142,-28.4071,31.7875
12,72,-121.4142,-25.4072,31.7699
12,72,-120.4143,-13.9074,31.6895
12,72,-120.4143,-13.4075,31.6866
12,72,-119.9143,-12.9075,31.6771
12,72,-119.9143,-11.9075,31.6712
12,72,-118.9144,-10.9076,31.6522
12,72,-118.9144,-9.4076,31.6434
12,72,-118.4144,-8.9077,31.6339
12,72,-118.4144,-7.9077,31.6280
12,72,-116.4146,-5.9079,31.5899
12,72,-116.4146,-5.4079,31.5870
12,72,-114.4148,-3.4081,31.5489
12,72,-113.9148,-3.4081,31.5423
12,72,-113.4149,-2.9082,31.5327
12,72,-112.4150,-2.9083,31.5195
12,72,-111.4150,-1.9083,31.5005
12,72,-110.4151,-1.9084,31.4872
12,72,-109.9152,-1.4085,31.4777
12,72,-108.9153,-1.4086,31.4645
12,72,-108.4153,-0.9086,31.4550
12,72,-107.9154,-0.9086,31.4484
12,72,-107.4154,-0.4087,31.4388
12,72,-97.4163,-0.4095,31.3067
12,72,-96.4164,-1.4095,31.2993
12,72,-95.4164,-1.4096,31.2861
12,72,-94.4165,-2.4097,31.2787
12,72,-93.9166,-2.4097,31.2721
12,72,-93.4166,-2.9097,31.2684
12,72,-92.9167,-2.9098,31.2618
12,72,-91.9167,-3.9098,31.2545
12,72,-91.4168,-3.9099,31.2479
12,72,-87.9171,-7.4101,31.2221
12,72,-87.9171,-7.9101,31.2250
12,72,-85.4173,-10.4102,31.2066
12,72,-85.4173,-11.4102,31.2124
12,72,-84.9174,-11.9102,31.2087
12,72,-84.9174,-12.4102,31.2116
12,72,-84.4174,-12.9102,31.2079
12,72,-84.4174,-13.4102,31.2109
12,72,-83.9174,-13.9103,31.2072
12,72,-83.9174,-14.4103,31.2101
12,72,-83.4175,-14.9103,31.2064
12,72,-83.4175,-15.4103,31.2093
12,72,-82.9175,-15.9103,31.2057
12,72,-82.9175,-25.9101,31.2641
12,72,-84.4174,-27.4100,31.2927
12,72,-85.4173,-27.4099,31.3059
12,72,-89.9169,-33.9095,31.4033
12,72,-90.4169,-34.4094,31.4129
12,72,-90.4169,-35.9094,31.4216
12,72,-92.9167,-38.4092,31.4693
12,72,-93.9166,-38.4091,31.4825
12,72,-94.4165,-38.9090,31.4920
12,72,-95.4164,-38.9090,31.5052
12,72,-97.9162,-41.4087,31.5529
12,72,-98.9161,-41.4086,31.5661
14,74,-106.3283,-33.8696,38.2207
14,74,-114.8275,-27.3691,38.2950
14,74,-114.8275,-26.8691,38.2921
14,74,-115.3275,-26.3691,38.2958
14,74,-115.3275,-25.3691,38.2900
14,74,-115.8274,-24.8690,38.2936
14,74,-115.8274,-24.3691,38.2907
14,74,-117.3273,-18.3690,38.2755
14,74,-117.3273,-17.3691,38.2696
14,74,-117.8273,-16.8690,38.2733
14,74,-117.8273,-15.3691,38.2646
14,74,-117.3273,-14.8691,38.2550
14,74,-117.3273,-11.8692,38.2375
14,74,-116.8273,-11.3692,38.2280
14,74,-116.8273,-10.8692,38.2250
14,74,-115.3275,-9.3693,38.1965
14,74,-114.8275,-9.3694,38.1899
14,74,-113.3277,-7.8695,38.1613
14,74,-112.8277,-7.8696,38.1547
14,74,-111.8278,-6.8697,38.1356
14,74,-111.3278,-6.8697,38.1290
14,74,-110.8279,-6.3697,38.1195
14,74,-110.3279,-6.3698,38.1129
14,74,-109.8280,-5.8698,38.1033
14,74,-109.3280,-5.8699,38.0967
14,74,-108.8280,-5.3699,38.0872
14,74,-106.8282,-5.3701,38.0608
14,74,-105.8283,-4.3702,38.0417
14,74,-105.3283,-4.3702,38.0351
14,74,-104.8284,-4.8702,38.0314
14,74,-104.3284,-4.8703,38.0248
14,74,-103.8285,-4.3703,38.0153
14,74,-102.8286,-4.3704,38.0021
14,74,-102.3286,-4.8704,37.9984
14,74,-100.3288,-4.8706,37.9719
14,74,-99.8288,-5.3706,37.9683
14,74,-97.8290,-5.3708,37.9418
14,74,-97.3290,-5.8708,37.9381
14,74,-96.3291,-5.8709,37.9249
14,74,-95.8292,-6.3709,37.9212
14,74,-94.8293,-6.3710,37.9080
14,74,-93.3294,-7.8711,37.8970
14,74,-92.8294,-7.8711,37.8904
14,74,-88.8298,-11.8714,37.8609
14,74,-88.8298,-12.3713,37.8638
14,74,-88.3298,-12.8714,37.8601
14,74,-88.3298,-13.8714,37.8660
14,74,-87.8299,-14.3714,37.8623
14,74,-87.8299,-15.8714,37.8710
14,74,-87.3299,-16.3714,37.8674
14,74,-87.3299,-18.8713,37.8820
14,74,-86.8300,-19.3714,37.8783
14,74,-87.3299,-19.8713,37.8878
14,74,-86.8300,-20.3714,37.8841
14,74,-86.8300,-20.8714,37.8870
14,74,-87.3299,-21.3713,37.8966
