slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
22,0,0,-137.8492,-38.8317,-19.4581
22,0,0,-138.5055,-38.8502,-19.3486
22,0,0,-139.1618,-38.2124,-19.1282
22,0,0,-139.8181,-38.2309,-19.0188
22,0,0,-143.7559,-34.4040,-17.6965
22,0,0,-143.7559,-33.7477,-17.5855
22,0,0,-144.4122,-33.1098,-17.3652
22,0,0,-144.4122,-32.4535,-17.2543
22,0,0,-145.0685,-31.8157,-17.0339
22,0,0,-145.0685,-30.5031,-16.8120
22,0,0,-145.7248,-29.8653,-16.5917
22,0,0,-145.7248,-29.2089,-16.4807
22,0,0,-146.3811,-28.5711,-16.2604
22,0,0,-146.3811,-23.3206,-15.3730
22,0,0,-145.7248,-22.6457,-15.3716
22,0,0,-145.7248,-21.9894,-15.2607
22,0,0,-145.0685,-21.3146,-15.2592
22,0,0,-145.0685,-20.6583,-15.1483
22,0,0,-144.4122,-19.9835,-15.1469
22,0,0,-144.4122,-19.3272,-15.0359
22,0,0,-140.4744,-15.2782,-15.0272
22,0,0,-139.8181,-15.2597,-15.1367
22,0,0,-139.1618,-14.5849,-15.1353
22,0,0,-138.5055,-14.5664,-15.2447
22,0,0,-137.8492,-13.8916,-15.2433
22,0,0,-129.3173,-13.6511,-16.6664
22,0,0,-125.3795,-17.4780,-17.9887
22,0,0,-125.3795,-18.1343,-18.0996
22,0,0,-124.7232,-18.7722,-18.3200
22,0,0,-124.7232,-19.4285,-18.4309
22,0,0,-124.0669,-20.0663,-18.6513
22,0,0,-124.0669,-21.3789,-18.8731
22,0,0,-122.0980,-23.2924,-19.5342
22,0,0,-122.0980,-24.6050,-19.7561
22,0,0,-121.4417,-25.2429,-19.9765
22,0,0,-121.4417,-25.8992,-20.0874
22,0,0,-120.7854,-26.5370,-20.3078
22,0,0,-122.0980,-31.8245,-20.9761
22,0,0,-122.7543,-31.8430,-20.8667
22,0,0,-123.4106,-32.5179,-20.8681
22,0,0,-124.7232,-32.5549,-20.6492
22,0,0,-125.3795,-33.2297,-20.6506
22,0,0,-130.6299,-37.9719,-20.5513
22,0,0,-131.9425,-39.3215,-20.5542
22,0,0,-133.2551,-39.3585,-20.3353
22,0,0,-133.9114,-40.0334,-20.3367
23,0,0,-137.2371,-38.1047,-23.7603
23,0,0,-138.5497,-38.1417,-23.5414
23,0,0,-139.2060,-37.5038,-23.3210
23,0,0,-139.8623,-37.5223,-23.2115
23,0,0,-141.1749,-36.2467,-22.7707
23,0,0,-141.8312,-36.2652,-22.6613
23,0,0,-145.1127,-33.0761,-21.5594
23,0,0,-145.1127,-32.4198,-21.4484
23,0,0,-145.7690,-31.7820,-21.2281
23,0,0,-145.7690,-31.1257,-21.1171
23,0,0,-146.4253,-30.4878,-20.8968
23,0,0,-146.4253,-29.8315,-20.7858
23,0,0,-147.0816,-29.1937,-20.5655
23,0,0,-147.0816,-27.8811,-20.3436
23,0,0,-147.7379,-27.2432,-20.1232
23,0,0,-147.7379,-23.3053,-19.4577
23,0,0,-147.0816,-22.6305,-19.4563
23,0,0,-147.0816,-19.3489,-18.9017
23,0,0,-145.7690,-17.9993,-18.8988
23,0,0,-145.7690,-17.3430,-18.7879
23,0,0,-143.1438,-14.6437,-18.7821
23,0,0,-142.4875,-14.6252,-18.8916
23,0,0,-141.8312,-13.9504,-18.8901
23,0,0,-140.5186,-13.9134,-19.1091
23,0,0,-139.8623,-13.2385,-19.1076
23,0,0,-134.6119,-13.0906,-19.9834
23,0,0,-133.9556,-13.7284,-20.2037
23,0,0,-131.3304,-13.6544,-20.6416
23,0,0,-126.7363,-18.1191,-22.1843
23,0,0,-126.7363,-18.7754,-22.2952
23,0,0,-126.0800,-19.4132,-22.5156
23,0,0,-126.0800,-20.7259,-22.7374
23,0,0,-125.4237,-21.3637,-22.9578
23,0,0,-125.4237,-22.0200,-23.0687
23,0,0,-124.7674,-22.6578,-23.2891
23,0,0,-124.7674,-23.3142,-23.4000
23,0,0,-124.1111,-23.9520,-23.6204
23,0,0,-124.1111,-27.2336,-24.1750
23,0,0,-124.7674,-27.9084,-24.1764
23,0,0,-124.7674,-28.5647,-24.2874
23,0,0,-125.4237,-29.2395,-24.2888
23,0,0,-125.4237,-30.5522,-24.5106
23,0,0,-126.7363,-31.9018,-24.5135
23,0,0,-131.3304,-34.6566,-24.1909
23,0,0,-131.3304,-35.3129,-24.3018
24,0,0,-138.5939,-36.7768,-27.6232
24,0,0,-139.9065,-36.8138,-27.4042
