slice_idx,num_points,x_mm,y_mm,z_mm
19,47,-119.3401,-45.0336,-10.7214
19,47,-119.9964,-45.7085,-10.7228
19,47,-121.3090,-44.4328,-10.2821
19,47,-124.5905,-44.5253,-9.7347
19,47,-126.5594,-46.5498,-9.7391
21,28,-132.5546,-12.4832,-11.5935
21,28,-131.2420,-11.7899,-11.7016
21,28,-129.2731,-11.0781,-11.9190
21,28,-128.6168,-11.7159,-12.1394
21,28,-127.9605,-11.6974,-12.2489
21,28,-127.3042,-12.3352,-12.4693
21,28,-126.6479,-12.3167,-12.5788
21,28,-124.0227,-14.8680,-13.4603
21,28,-124.0227,-15.5243,-13.5712
21,28,-122.7101,-16.8000,-14.0120
21,28,-122.7101,-18.1126,-14.2338
21,28,-122.0538,-18.7504,-14.4542
21,28,-122.0538,-19.4067,-14.5651
21,28,-121.3974,-20.0445,-14.7855
21,28,-121.3974,-22.0135,-15.1182
21,28,-118.7722,-24.5648,-15.9998
21,28,-118.7722,-25.2211,-16.1107
21,28,-117.4596,-26.4967,-16.5514
21,28,-117.4596,-27.8094,-16.7733
21,28,-116.8033,-28.4472,-16.9937
21,28,-116.8033,-29.1035,-17.1046
21,28,-117.4596,-29.7783,-17.1060
21,28,-116.8033,-30.4161,-17.3264
21,28,-116.8033,-31.7288,-17.5482
21,28,-116.1470,-32.3666,-17.7686
21,28,-116.1470,-34.3356,-18.1014
21,28,-117.4596,-35.6852,-18.1043
21,28,-125.3353,-35.9072,-16.7907
